Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Response,TotalSpend,TotalPurchases,TotalCampaignsAccepted,EducationLevel,CustomerTenure,Age
Single,20587.0,1,0,39,1,7,0,0,25,4,0,3,4369,56
Married,30467.0,1,0,8,1,7,0,0,24,3,0,3,4422,54
Together,31590.0,1,0,40,1,8,0,0,38,4,0,3,4696,54
Married,20425.0,1,0,5,2,7,0,0,57,5,0,1,4928,40
Together,17144.0,1,1,96,5,7,0,0,47,7,0,4,4454,66
Divorced,42564.0,0,1,28,6,7,0,1,813,18,1,4,4863,58
Married,43783.0,1,0,22,6,7,0,0,629,16,1,4,4351,48
Divorced,40780.0,0,1,30,4,9,0,0,377,13,0,3,4979,50
Together,62847.0,0,0,45,1,2,0,0,1612,13,0,4,4850,81
Married,82017.0,0,0,58,1,2,0,1,729,16,3,4,4919,69
Single,16813.0,0,0,49,1,7,0,0,50,5,1,3,4665,76
Married,51267.0,1,1,37,4,4,0,0,270,11,0,3,4563,48
Single,46524.0,0,1,70,2,3,0,0,177,7,0,3,4770,65
Single,45183.0,0,0,33,1,7,0,0,315,12,1,4,4845,64
Married,70421.0,0,1,98,3,6,0,0,767,20,0,4,4321,72
Divorced,60161.0,0,1,17,3,8,0,0,1071,23,0,2,4934,61
Together,73926.0,0,0,54,1,3,0,0,1580,23,0,3,4804,53
Married,19329.0,1,0,39,3,8,0,0,60,7,0,3,4517,58
Married,61872.0,0,1,81,4,4,0,0,573,17,0,4,4518,56
Widow,46984.0,1,1,71,1,5,0,0,41,4,0,3,4780,70
Married,34838.0,1,1,62,3,6,0,0,170,7,0,3,4846,75
Single,82716.0,0,0,8,1,2,0,0,1167,27,0,4,4556,82
Married,48192.0,0,0,76,3,8,0,1,1526,22,3,3,4769,68
Married,49681.0,0,2,66,6,7,0,0,458,15,0,4,4557,50
Married,56850.0,0,1,83,1,2,0,0,63,5,0,4,4418,55
Married,55267.0,0,1,28,4,3,0,0,405,13,0,3,4571,69
Married,59666.0,1,1,87,7,8,0,0,1027,13,1,3,4784,54
Single,72504.0,0,1,43,2,2,0,0,1478,20,0,3,4769,54
Married,26872.0,0,0,0,1,6,0,0,72,4,0,3,4576,45
Single,21359.0,1,0,1,2,8,0,1,48,5,0,3,4755,54
Single,73170.0,0,0,1,1,2,0,0,726,15,0,3,4349,51
Married,52750.0,0,1,72,6,4,0,0,860,21,0,4,4830,71
Together,91820.0,0,0,72,0,1,0,0,1497,22,0,4,4538,40
Together,65968.0,0,1,12,2,3,0,0,495,16,0,4,4368,56
Married,30772.0,1,1,89,1,6,0,0,20,3,0,3,4429,50
Single,22507.0,0,0,67,3,9,0,0,570,16,0,3,4902,72
Married,65685.0,0,1,54,1,5,0,0,769,20,0,3,4412,54
Married,25804.0,1,0,34,2,8,0,0,55,5,0,2,4621,48
Single,76412.0,0,0,15,1,3,0,1,1808,17,2,4,4740,46
Married,22063.0,1,0,43,2,7,0,0,55,5,0,3,4645,54
Single,57091.0,0,0,0,1,5,0,1,577,17,1,3,4334,65
Married,22419.0,0,0,74,1,8,0,0,162,7,0,3,4757,63
Together,87771.0,0,1,61,1,6,0,1,1957,19,4,3,4723,67
Divorced,78353.0,0,1,51,1,8,0,0,1576,23,0,2,4759,67
Married,93404.0,1,2,97,3,5,0,0,1616,14,2,3,4738,72
Divorced,37859.0,1,2,75,2,8,0,0,36,4,0,3,4853,64
Widow,80995.0,0,1,83,1,4,0,0,1482,21,0,4,4734,68
Together,16529.0,1,0,23,1,6,0,0,22,4,0,3,4440,42
Divorced,55412.0,1,1,65,1,5,0,0,63,5,0,4,4539,50
Single,48789.0,0,0,94,1,6,0,0,680,17,0,3,4977,34
Together,56575.0,0,2,42,3,5,0,0,542,17,0,4,4740,59
Together,25130.0,1,0,10,2,7,0,0,50,5,0,2,4590,46
Married,35441.0,1,1,94,2,8,0,0,39,4,0,3,4820,59
Married,71391.0,0,1,50,5,3,0,0,1043,23,0,3,4777,70
Single,49494.0,1,0,46,2,7,0,0,385,12,0,4,4750,54
Divorced,81702.0,0,0,98,1,3,0,0,1633,26,0,3,4964,46
Single,45889.0,0,1,42,1,6,0,0,46,4,0,2,4682,46
Single,56628.0,0,1,30,2,5,0,0,761,18,1,3,4420,49
Together,34026.0,1,1,11,3,5,0,0,76,6,0,3,4648,76
Married,40049.0,0,1,61,3,5,0,0,290,11,0,3,4897,52
Single,34176.0,1,0,12,4,6,0,0,89,7,0,3,4368,38
Married,19419.0,1,0,76,4,9,0,0,70,7,0,3,4916,45
Married,82504.0,0,0,2,1,1,0,0,1066,16,0,2,4657,66
Together,81205.0,0,0,43,1,2,0,1,2009,18,3,3,4487,56
Single,61618.0,0,0,27,2,3,0,0,1345,17,0,2,4958,35
Single,55284.0,0,1,60,3,5,0,0,764,20,0,4,4872,70
Single,49980.0,0,1,79,2,5,0,0,195,9,0,3,4569,63
Married,15072.0,2,0,96,4,5,0,0,53,7,0,3,4735,46
Single,49166.0,0,1,17,2,6,0,0,368,11,0,3,4701,52
Married,65324.0,0,1,0,3,4,0,0,544,17,0,4,4489,72
Married,82347.0,0,0,38,1,3,0,0,1853,24,2,2,4920,69
Together,30843.0,1,1,43,2,5,0,0,35,4,1,4,4354,60
Married,46374.0,0,1,1,3,8,0,1,446,15,2,4,4424,52
Single,60474.0,0,1,25,7,7,0,0,1180,24,0,3,4774,47
Married,38576.0,0,1,2,1,7,0,0,41,4,0,4,4437,53
Married,55357.0,2,0,66,3,5,0,0,727,19,0,3,4815,41
Together,37758.0,1,1,49,2,8,0,0,40,4,0,3,4953,60
Married,85710.0,0,0,5,1,2,0,0,1062,25,1,2,4740,37
Together,23228.0,1,0,71,2,8,0,0,40,5,0,3,4474,57
Together,44602.0,1,1,35,6,8,0,0,292,11,0,4,4454,57
Married,7500.0,0,0,94,1,6,0,0,15,3,0,3,4856,39
Together,38683.0,1,0,80,6,7,0,0,341,11,0,2,4953,37
Single,49514.0,1,0,61,2,7,0,0,369,11,0,2,4514,51
Together,57906.0,0,1,29,3,4,0,0,401,14,0,4,4703,53
Single,43456.0,0,1,0,3,5,0,0,393,14,0,4,4780,60
Single,19485.0,2,0,80,1,7,0,0,10,3,0,4,4598,40
Together,53172.0,0,1,54,3,3,0,0,486,13,0,3,4739,48
Together,30545.0,1,0,71,2,7,0,0,69,5,0,3,4940,47
Together,70123.0,0,0,27,1,3,0,0,1727,16,2,4,4594,43
Single,62450.0,0,1,61,2,3,0,0,995,14,1,3,4494,67
Together,21675.0,1,0,55,3,7,0,0,45,7,0,3,4338,50
Single,42395.0,1,1,35,4,7,0,0,182,8,0,2,4406,45
Together,61346.0,1,0,34,1,3,0,0,989,22,0,4,4586,48
Together,80812.0,0,0,95,1,2,0,0,1677,17,3,3,4605,73
Divorced,42835.0,1,1,64,7,6,0,0,595,16,0,4,4684,55
Married,39922.0,1,0,30,2,8,0,0,156,7,0,3,4820,43
Single,86424.0,0,0,12,1,1,0,0,1226,27,0,4,4405,70
Together,17117.0,1,0,96,4,9,0,0,128,7,0,2,4848,48
Single,24762.0,1,0,16,3,8,0,1,86,6,1,3,4459,54
Married,35797.0,0,1,16,2,8,0,0,68,5,0,3,4941,51
Divorced,36627.0,2,0,78,1,5,0,0,16,3,0,3,4661,51
Married,51111.0,1,1,83,2,6,0,0,55,5,0,2,4330,45
Single,86857.0,0,0,96,1,2,0,1,2114,21,0,4,4975,54
Together,82072.0,0,0,67,1,1,0,0,2018,18,0,4,4682,56
Single,46231.0,2,1,87,4,9,0,0,263,11,0,4,4900,73
Married,42243.0,1,1,34,2,7,0,0,55,5,0,3,4520,67
Together,51195.0,1,1,46,8,8,0,0,564,16,0,3,4774,64
Single,68092.0,0,0,7,2,5,0,0,1281,18,0,4,4515,48
Married,31814.0,1,0,73,2,9,0,0,83,5,1,3,4825,53
Widow,51390.0,1,1,54,6,5,0,0,353,12,0,4,4979,61
Married,76630.0,0,0,93,1,1,0,0,1003,24,0,3,4486,43
Single,26868.0,1,0,52,1,7,0,0,14,3,0,1,4380,35
Divorced,48948.0,0,0,53,2,6,0,1,902,22,1,4,4833,83
Single,55260.0,0,1,81,2,6,0,0,1139,23,0,4,4884,54
Together,64090.0,0,1,8,1,5,0,1,797,19,0,3,4646,70
Divorced,78331.0,0,1,97,2,4,0,0,1638,23,0,3,4477,68
Married,37087.0,1,0,50,3,6,0,0,401,14,0,4,4642,52
Divorced,21846.0,1,0,38,4,8,0,0,84,7,0,3,4570,40
Married,81320.0,0,0,61,1,2,0,0,928,17,0,3,4828,68
Divorced,54137.0,0,1,46,2,6,0,0,203,9,0,3,4637,56
Together,66825.0,0,0,73,1,2,0,0,858,15,0,3,4670,59
Together,57100.0,0,0,19,1,3,0,0,409,12,0,3,4527,53
Together,58917.0,1,2,10,5,5,0,0,282,11,0,3,4782,57
Single,85072.0,0,0,94,1,0,0,0,1423,17,0,3,4401,49
Single,86429.0,0,0,10,0,2,0,1,1449,18,1,3,4540,65
Widow,45684.0,1,0,37,1,7,0,0,28,3,0,3,4529,55
Together,47889.0,1,0,94,1,5,0,0,67,5,0,3,4496,52
Married,45921.0,0,0,23,1,4,0,0,199,9,0,4,4431,40
Single,78420.0,0,0,75,1,1,0,0,1453,21,0,4,4685,60
Together,75114.0,0,0,40,1,2,0,0,1253,18,0,3,4554,34
Widow,52278.0,0,1,24,6,8,0,1,1198,25,0,4,4840,63
Married,35641.0,1,0,11,2,7,0,1,178,8,0,4,4670,54
Single,95529.0,0,0,29,1,3,0,1,1990,17,1,3,4893,32
Married,62820.0,0,0,51,1,1,0,0,976,13,0,3,4734,72
Together,73113.0,0,0,86,1,2,0,0,1001,14,0,4,4505,66
Married,84169.0,0,0,9,1,3,0,1,1919,19,2,4,4646,44
Single,42607.0,0,1,30,2,3,0,0,350,12,0,2,4544,72
Single,74637.0,0,0,73,1,3,0,0,1650,24,1,4,4727,72
Together,46015.0,1,1,25,1,7,0,0,46,4,2,4,4397,71
Single,72354.0,0,0,67,1,1,0,0,1228,18,0,3,4758,33
Single,39858.0,1,0,67,1,6,0,1,95,6,0,4,4841,57
Married,34469.0,1,1,58,3,4,0,0,62,6,0,4,4376,78
Together,83033.0,1,0,82,1,5,0,0,1761,25,1,3,4362,40
Together,24401.0,0,0,98,3,8,0,0,467,13,0,4,4987,47
Married,77583.0,0,0,93,1,2,0,0,1149,18,1,3,4459,48
Single,74116.0,0,0,53,1,2,0,0,2052,18,1,2,4501,44
Single,74293.0,0,0,66,1,2,0,0,1127,15,0,3,4376,33
Married,68397.0,0,1,6,1,3,0,0,1416,20,0,4,4544,50
Together,79632.0,0,0,42,1,2,0,0,1113,19,0,4,4402,52
Single,46107.0,1,0,78,1,3,0,0,125,6,0,3,4459,37
Single,64950.0,0,1,29,2,7,0,0,966,23,1,4,5006,75
Married,25443.0,1,0,82,1,8,0,0,32,4,0,1,4874,37
Single,75127.0,0,0,92,1,1,0,0,833,18,0,3,4358,74
Together,32892.0,1,0,78,2,8,0,0,46,6,0,4,4355,55
Together,71796.0,0,0,54,1,4,0,0,960,16,0,3,4568,55
Married,67536.0,0,1,45,3,8,0,0,1829,27,1,4,4723,56
Single,55239.0,0,1,59,3,5,0,0,779,23,0,3,4670,55
Divorced,60554.0,1,0,8,2,6,0,0,811,21,0,4,4644,51
Single,64831.0,1,1,51,8,6,0,0,1120,14,0,2,4704,74
Together,56067.0,0,1,51,2,5,0,0,725,18,0,4,4664,64
Divorced,82025.0,0,0,76,1,1,0,1,1187,11,1,3,4717,43
Together,94384.0,0,0,62,0,2,0,1,2302,18,3,3,4802,73
Single,14906.0,0,0,86,3,7,0,0,66,6,0,1,4874,40
Married,51563.0,0,0,60,1,8,0,0,1250,18,2,4,4956,39
Married,57937.0,0,1,56,3,3,0,0,683,17,0,2,4453,44
Divorced,68274.0,1,1,83,2,3,0,0,305,11,0,3,4592,47
Together,39771.0,1,0,92,1,4,0,0,50,5,0,3,4525,49
Divorced,67893.0,0,1,31,2,8,0,0,995,14,0,2,4956,51
Together,27922.0,1,0,80,1,4,0,0,41,5,0,4,4370,47
Together,52190.0,1,1,39,3,5,0,0,77,6,1,4,4372,50
Divorced,44051.0,1,1,20,4,6,0,1,171,8,0,4,4836,53
Single,42767.0,2,0,53,1,8,0,0,131,6,0,4,4734,55
Together,46106.0,1,1,84,1,6,0,0,54,4,0,4,4369,50
Married,16927.0,1,1,50,5,8,0,0,53,7,0,4,4824,50
Married,59754.0,0,1,96,3,5,0,1,475,13,0,3,4895,61
Single,53700.0,0,1,94,4,5,0,0,694,18,0,3,5001,74
Married,59041.0,1,1,25,2,5,0,0,96,6,0,3,4373,53
Divorced,54237.0,0,1,48,4,6,0,0,361,12,0,4,4748,69
Divorced,70647.0,0,1,65,2,2,0,0,1079,24,0,3,4966,59
Single,52597.0,0,1,69,3,5,0,0,578,17,0,4,4373,64
Together,41021.0,1,0,12,2,6,0,1,64,5,0,4,4866,57
Married,40233.0,0,1,84,5,6,0,0,149,8,0,4,4578,51
Married,50183.0,1,1,47,7,5,0,0,231,10,0,3,4324,46
Together,54753.0,0,1,87,3,4,0,0,728,18,0,3,4610,67
Married,92955.0,0,0,35,1,2,0,1,1778,22,2,3,4634,53
Married,33471.0,1,0,47,3,7,0,0,93,7,0,3,4945,53
Married,34596.0,1,0,48,1,8,0,1,23,3,0,4,4762,52
Together,44010.0,1,0,46,6,9,0,0,662,18,0,3,4944,46
Married,84219.0,0,0,27,1,1,0,0,1198,17,0,3,4467,38
Together,40706.0,2,1,37,4,7,0,0,81,7,0,4,4848,58
Married,15716.0,1,0,8,3,8,1,0,92,7,0,2,4914,38
Divorced,59052.0,0,1,29,3,5,0,0,491,15,0,2,4544,67
Together,80573.0,0,0,85,1,2,0,0,1564,23,0,4,4943,55
Married,83715.0,0,0,2,1,0,0,0,926,23,0,3,4466,64
Together,82576.0,0,0,66,1,1,0,0,1910,18,1,4,5017,67
Married,56962.0,2,1,60,7,7,0,0,411,14,0,4,4581,61
Married,35704.0,1,1,54,3,4,0,0,94,6,0,3,4497,74
Together,53103.0,0,1,70,5,7,0,0,1085,23,1,3,4610,72
Widow,46779.0,1,1,55,1,4,0,0,23,3,0,2,4672,66
Divorced,4861.0,0,0,20,0,14,0,0,6,0,0,3,4327,61
Divorced,33462.0,1,0,78,1,7,0,0,54,5,0,4,4646,47
Divorced,63693.0,0,1,63,3,6,0,0,1150,26,0,3,4578,48
Married,80763.0,0,0,17,1,3,0,1,1415,22,2,3,4638,76
Married,65352.0,0,1,43,2,4,0,0,405,14,0,4,4632,52
Married,82170.0,0,0,13,1,2,0,0,1908,18,0,4,4536,48
Married,75759.0,0,0,46,1,5,0,1,2486,25,3,3,4567,57
Single,79689.0,0,0,65,1,2,0,0,1315,26,0,2,4733,50
Widow,35340.0,1,1,1,2,5,0,0,45,5,0,4,4320,70
Divorced,85683.0,0,0,6,1,1,0,1,1789,16,4,3,4420,72
Married,24884.0,1,0,32,1,7,0,0,19,3,0,2,4897,54
Together,42021.0,1,0,34,5,9,0,0,573,17,1,4,4987,45
Single,64449.0,1,0,70,4,4,0,0,805,20,0,3,4451,37
Divorced,64587.0,1,1,49,2,3,0,0,108,6,0,3,4327,72
Single,34824.0,0,0,65,1,6,0,0,23,3,0,3,4415,31
Together,75437.0,0,0,25,1,6,0,0,1493,22,1,3,4552,48
Together,26091.0,1,1,84,3,5,0,0,89,6,0,3,4444,69
Married,52845.0,1,0,7,3,6,0,0,936,22,1,3,4640,53
Divorced,46086.0,0,1,34,4,4,0,0,343,12,0,3,4558,70
Widow,78028.0,0,1,38,1,7,0,1,528,19,2,4,4977,70
Single,95169.0,0,0,1,1,1,0,1,1901,11,2,4,4583,39
Married,56337.0,1,1,25,5,8,0,1,724,17,2,2,4779,45
Together,22434.0,1,0,25,2,8,0,0,58,5,0,3,4821,39
Married,36930.0,0,1,50,5,8,0,0,297,11,0,4,4728,72
Single,36130.0,0,1,46,6,4,0,1,488,15,1,3,4832,72
Married,65569.0,0,1,96,2,3,0,0,859,21,0,4,4921,73
Together,83844.0,0,0,57,1,1,0,0,1574,19,1,3,4733,74
Married,19514.0,1,1,47,4,8,0,0,69,6,1,3,4474,58
Single,36736.0,1,1,52,1,6,0,0,17,3,0,4,4735,63
Together,77568.0,0,1,30,1,5,0,0,2194,20,3,3,4993,47
Together,49187.0,0,1,63,1,2,0,0,116,7,0,4,4489,50
Single,30168.0,1,0,51,7,9,0,0,279,11,0,3,4799,48
Together,34053.0,0,1,14,1,8,0,0,103,6,0,4,4977,58
Married,38196.0,1,1,20,3,5,0,0,44,6,0,4,4392,55
Married,59412.0,0,0,56,1,3,0,0,406,14,0,4,4391,75
Married,70924.0,0,0,41,1,3,0,0,1363,19,1,2,4403,61
Together,54165.0,0,0,72,1,2,0,0,236,10,0,3,4717,57
Married,32300.0,1,0,1,1,8,0,0,39,4,0,3,4862,53
Single,20180.0,0,0,27,1,7,0,0,137,7,0,3,4814,50
Married,34961.0,1,0,77,3,7,0,0,79,7,0,3,4330,53
Together,28440.0,1,0,87,1,8,0,0,63,5,0,4,4677,52
Together,64504.0,1,2,81,7,7,0,1,1314,18,0,4,4802,73
Together,33564.0,0,1,51,1,5,0,0,71,5,0,4,4325,60
Married,17345.0,1,0,79,2,8,0,0,58,5,0,3,4923,48
Married,56320.0,0,1,11,3,4,0,0,702,18,0,4,4767,59
Single,28647.0,1,0,54,1,7,0,1,94,6,1,3,4632,48
Single,15038.0,1,0,93,2,9,0,0,80,5,0,1,4836,39
Divorced,32173.0,0,1,0,1,4,0,0,22,4,0,4,4652,68
Together,68316.0,0,1,54,5,6,0,0,1211,27,0,2,4922,62
Together,74538.0,0,0,21,1,3,0,1,1461,21,1,3,4685,55
Single,91700.0,0,0,58,1,3,0,1,1968,19,0,3,4848,55
Together,68695.0,0,0,3,1,2,0,0,1091,15,0,3,4324,57
Married,31056.0,1,0,99,1,8,0,0,55,4,0,2,4843,49
Married,79593.0,0,0,70,1,2,0,0,1366,18,1,3,4368,53
Single,28071.0,0,0,65,2,8,0,0,313,11,0,3,4989,46
Together,37334.0,1,1,44,4,4,0,0,62,7,0,4,4443,68
Single,46423.0,1,1,6,3,7,0,0,92,6,0,4,4604,54
Married,37126.0,1,0,9,1,6,0,1,72,5,1,4,4411,55
Married,47703.0,0,1,95,4,5,0,0,655,17,0,3,4716,73
Married,61180.0,0,1,70,2,3,0,0,704,16,1,3,4387,67
Married,38998.0,1,1,92,3,8,1,0,54,5,0,3,4923,72
Single,8028.0,0,0,62,15,19,0,0,178,1,0,3,4969,35
Together,76081.0,0,0,85,1,2,0,0,1033,13,1,3,4357,64
Together,34728.0,1,0,2,1,6,0,1,36,4,0,3,4654,40
Single,33168.0,0,1,0,3,7,0,0,122,7,0,4,4944,61
Married,33585.0,0,1,91,1,4,0,0,122,6,0,4,4597,60
Married,77037.0,0,1,3,1,3,0,0,1123,26,0,4,4579,66
Together,35196.0,1,0,68,6,8,0,1,497,12,0,3,4913,42
Married,44529.0,0,1,98,6,5,0,0,691,19,1,3,4679,60
Married,70924.0,0,0,41,1,3,0,0,1363,19,1,2,4403,61
Together,28764.0,1,1,16,1,8,0,0,12,3,1,4,4344,60
Married,69098.0,0,0,82,1,5,0,0,2440,24,0,4,4818,77
Divorced,25959.0,1,1,1,2,6,0,1,56,5,0,2,4820,56
Married,27100.0,1,0,64,1,7,0,0,37,4,0,4,4770,43
Single,70596.0,0,0,68,1,2,0,0,968,20,0,3,4952,41
Married,42557.0,0,1,98,4,8,0,0,270,11,0,3,4989,52
Married,53312.0,0,0,32,1,7,0,0,278,11,0,4,4644,75
Single,72228.0,0,0,87,1,3,0,0,1250,21,0,3,4899,74
Together,67605.0,0,0,84,1,1,0,0,938,16,0,3,4775,39
Married,62845.0,1,1,3,11,8,0,0,1178,17,1,4,4956,77
Together,65196.0,0,2,34,2,5,0,0,1155,24,1,3,4659,68
Single,42000.0,0,0,23,2,5,0,1,653,18,0,4,4855,39
Divorced,35860.0,1,1,37,2,5,0,0,49,4,1,4,4361,53
Married,65526.0,0,1,22,1,2,0,0,506,16,0,4,4399,62
Married,16860.0,1,1,19,3,7,0,0,38,5,0,3,4975,65
Single,83528.0,0,0,7,1,1,0,1,1650,22,2,3,4379,34
Divorced,64176.0,0,1,52,8,6,0,0,1826,25,0,2,5015,61
Divorced,22304.0,0,0,91,1,8,0,0,18,3,0,3,5014,70
Married,67023.0,0,0,93,1,2,1,0,906,23,0,3,4437,48
Together,32892.0,1,0,78,2,8,0,0,46,6,0,4,4355,55
Together,70713.0,0,1,23,6,3,0,0,1477,19,0,3,4893,60
Together,59925.0,0,1,83,3,6,0,0,766,20,0,3,4896,71
Married,39722.0,0,1,92,2,5,0,0,47,5,0,3,4445,73
Together,46610.0,0,0,4,1,6,0,0,467,13,0,3,4666,68
Together,88347.0,0,0,32,1,1,0,0,2116,20,1,3,4681,65
Married,87171.0,0,0,27,1,2,0,0,1298,24,2,4,4744,45
Together,26907.0,1,1,10,2,7,0,0,22,4,0,2,4633,50
Single,50014.0,1,0,9,2,5,0,0,396,13,0,4,4478,58
Married,41014.0,1,0,65,1,7,0,0,20,3,0,4,4753,48
Single,66294.0,0,0,68,1,2,0,0,967,12,0,3,4424,61
Married,36715.0,1,0,16,6,9,0,1,357,13,0,3,4909,55
Married,79456.0,0,0,12,1,3,0,1,1401,15,0,3,4996,70
Together,40479.0,1,0,95,1,4,0,0,15,3,0,3,4636,44
Single,75345.0,0,0,16,1,3,0,1,2087,19,1,4,4832,56
Married,54233.0,0,1,46,4,8,0,0,981,22,0,3,4830,49
Single,24163.0,1,1,3,2,4,0,0,17,4,0,3,4580,56
Together,84460.0,0,0,80,0,5,0,1,523,22,4,4,4861,68
Together,43776.0,1,0,77,1,6,0,0,23,3,0,3,4377,43
Single,71691.0,0,0,0,1,2,0,1,1192,16,0,4,4424,68
Married,85844.0,0,0,62,1,2,0,0,1958,19,1,4,4351,53
Single,39190.0,1,0,91,2,5,0,0,133,7,0,4,4384,52
Together,71367.0,0,0,24,1,2,0,0,777,16,0,3,4630,67
Single,38578.0,1,1,2,3,8,0,0,73,6,0,4,4692,54
Married,57236.0,1,1,22,3,3,0,0,121,7,0,4,4429,61
Single,61825.0,0,1,56,1,4,0,0,424,14,0,3,4646,47
Divorced,79803.0,0,1,54,1,1,0,0,868,12,0,3,4347,68
Single,80910.0,0,0,71,1,1,0,0,756,14,0,2,4926,40
Together,27590.0,1,0,38,1,7,0,0,12,3,0,4,4752,44
Married,56775.0,0,1,62,2,5,0,0,937,23,0,3,4863,47
Divorced,83829.0,0,0,78,0,1,0,1,1862,17,3,3,4584,51
Married,54210.0,0,1,18,2,5,0,0,367,12,0,2,4725,47
Married,38508.0,1,0,95,6,8,0,0,443,14,0,3,4651,40
Together,53187.0,1,0,66,2,5,0,0,267,11,0,3,4566,56
Married,30023.0,1,0,28,1,8,0,0,61,5,0,3,4417,54
Single,76045.0,0,0,78,1,2,0,0,1323,20,1,4,4546,66
Married,50870.0,0,1,13,1,5,0,0,63,5,0,4,4330,74
Married,15315.0,0,0,27,2,5,0,0,64,6,0,2,4650,56
Married,65463.0,1,0,17,2,5,0,0,562,17,1,2,4470,52
Married,66480.0,1,1,71,7,4,0,0,312,12,0,3,4349,61
Divorced,76773.0,0,0,79,1,1,0,0,1156,15,0,3,4809,72
Single,81698.0,0,0,1,1,5,0,1,1104,15,1,2,4805,43
Single,54466.0,1,1,78,1,5,0,0,16,3,0,4,4460,53
Single,98777.0,0,0,23,0,1,0,0,2008,19,1,4,4452,66
Single,16269.0,1,0,75,3,8,0,0,44,6,0,4,4623,42
Together,71819.0,0,1,70,3,6,0,0,1574,11,2,3,4625,55
Married,33569.0,1,0,10,1,8,0,1,63,4,1,4,4576,43
Married,36262.0,0,0,24,1,6,0,1,426,11,1,4,4602,43
Together,22634.0,0,0,47,1,8,0,0,96,5,0,1,4849,60
Married,47025.0,0,1,98,5,9,0,0,635,18,0,2,4610,48
Single,70566.0,0,1,4,2,3,0,0,757,20,0,3,4586,58
Married,31605.0,1,0,15,2,7,0,0,125,7,0,4,4904,47
Divorced,52034.0,1,1,67,5,7,0,0,332,11,0,4,4728,53
Single,48526.0,1,0,32,1,3,0,0,135,7,0,3,4507,47
Married,46734.0,0,1,40,2,7,0,0,330,12,0,3,4908,72
Divorced,39552.0,1,1,54,7,8,0,1,384,13,0,3,4878,64
Single,86358.0,1,1,78,4,8,0,0,1722,14,0,3,5010,60
Together,46931.0,2,1,94,2,3,0,0,78,5,0,3,4386,49
Single,16581.0,0,0,51,1,4,0,0,24,3,0,1,4853,41
Divorced,63998.0,0,0,42,1,4,0,1,1168,24,0,2,4511,74
Married,67381.0,0,1,67,4,7,0,0,957,13,1,4,4850,75
Single,25930.0,1,1,87,1,7,0,0,15,3,0,3,4582,59
Married,42693.0,1,0,29,1,5,0,0,57,4,0,3,4342,48
Together,85606.0,0,1,89,2,3,0,0,1956,22,1,3,4914,50
Single,72903.0,0,0,74,1,4,0,1,2013,20,3,3,4563,41
Together,49669.0,1,0,97,2,6,0,0,326,12,0,2,4356,52
Married,36778.0,1,1,63,3,9,0,0,77,6,0,4,5013,58
Divorced,85696.0,0,0,88,1,1,0,1,1313,19,0,4,4742,64
Divorced,10979.0,0,0,34,2,5,0,0,30,6,0,4,4358,37
Married,49678.0,0,1,81,2,7,0,0,315,12,0,3,4832,65
Together,56129.0,0,1,65,4,4,0,0,660,18,0,4,4694,73
Married,37155.0,1,0,51,1,5,0,0,74,6,0,3,4834,37
Divorced,21282.0,1,0,76,2,6,0,0,46,5,0,2,4369,48
Single,33419.0,0,1,76,2,7,0,0,86,6,0,4,4636,64
Widow,63285.0,0,0,84,1,3,0,0,1103,24,0,3,4556,81
Together,21255.0,1,0,56,4,4,0,0,61,7,0,4,4479,52
Together,42162.0,1,0,31,2,6,0,1,145,7,1,3,4542,45
Together,54450.0,1,1,0,12,8,0,0,684,19,0,3,4973,70
Married,57744.0,0,1,91,2,8,0,0,411,14,0,4,4549,72
Single,26576.0,1,0,40,1,9,0,1,27,3,1,3,4944,40
Widow,57513.0,0,0,59,2,6,0,0,1060,25,0,4,4678,83
Together,68142.0,0,1,96,3,6,0,0,1459,21,0,3,4989,62
Married,7500.0,0,1,61,1,8,0,0,18,3,0,3,4989,47
Together,83145.0,0,0,14,1,2,0,1,1833,25,1,3,4965,52
Married,54197.0,0,1,16,2,1,0,0,237,10,0,4,4407,66
Single,23091.0,1,1,98,4,7,0,0,48,6,0,4,4352,63
Married,46049.0,1,1,11,10,7,0,1,515,16,0,3,4663,50
Together,56715.0,0,0,52,1,4,0,0,1020,14,0,3,4891,52
Married,79410.0,0,0,19,1,1,0,0,1370,10,0,3,4351,65
Married,57304.0,0,1,61,2,5,0,0,1026,23,0,3,4795,75
Married,44375.0,0,1,73,1,5,0,0,301,11,0,3,4418,61
Together,54450.0,1,1,0,12,8,0,0,684,19,0,3,4973,70
Married,59594.0,0,1,74,1,7,0,0,499,16,1,3,4937,61
Together,80685.0,0,0,55,1,2,0,0,1004,20,0,3,4996,32
Married,40344.0,0,1,48,2,7,0,0,218,10,0,4,4579,52
Married,62710.0,0,1,53,4,4,0,0,606,18,0,3,4722,54
Married,48985.0,0,1,13,1,3,0,0,75,5,0,2,4679,58
Together,35322.0,1,2,34,3,8,0,0,106,6,0,3,4996,58
Married,77142.0,0,0,54,1,2,0,0,990,16,0,3,4716,78
Single,81657.0,0,0,69,1,1,0,0,1097,15,0,3,4478,57
Married,14421.0,0,0,81,1,5,0,0,16,3,1,1,4452,30
Married,20130.0,0,0,99,1,8,0,0,34,4,0,2,4424,52
Married,74214.0,0,0,3,1,5,0,0,1711,15,0,4,4992,36
